"median_house_value","total_bedrooms","total_rooms","bedroom_per_room"
"14999","239","619","0.39"
"14999","267","803","0.33"
"14999","73","255","0.29"
"14999","28","98","0.29"
"17500","168","493","0.34"
"22500","79","107","0.74"
"22500","451","845","0.53"
"22500","73","296","0.25"
"22500","1743","9975","0.17"
"25000","33","44","0.75"
"26600","309","1440","0.21"
"26900","543","2745","0.20"
"27500","24","97","0.25"
"28300","3114","17738","0.18"
"30000","448","1586","0.28"
"30000","183","973","0.19"
"32500","422","1014","0.42"
"32500","275","938","0.29"
"32500","332","1232","0.27"
"32500","49","208","0.24"
"32900","386","1372","0.28"
"33200","131","496","0.26"
"34200","153","602","0.25"
"34400","121","354","0.34"
"34600","208","1091","0.19"
"35000","1747","8193","0.21"
"36600","199","875","0.23"
"36700","238","938","0.25"
"37500","650","2307","0.28"
"37500","102","365","0.28"
"37500","194","786","0.25"
"37500","20","116","0.17"
"37900","756","3150","0.24"
"38800","103","281","0.37"
"38800","263","1193","0.22"
"39200","237","1128","0.21"
"39400","255","1120","0.23"
"39400","310","1438","0.22"
"39600","296","853","0.35"
"39800","316","1184","0.27"
"40000","373","1234","0.30"
"40000","199","807","0.25"
"40000","185","777","0.24"
"40000","290","1236","0.23"
"40400","1636","7922","0.21"
"40900","385","1673","0.23"
"41000","1257","3868","0.32"
"41300","449","1848","0.24"
"41400","235","951","0.25"
"41500","441","1838","0.24"
"41700","415","1546","0.27"
"41800","107","461","0.23"
"42100","189","766","0.25"
"42100","564","2579","0.22"
"42500","468","1175","0.40"
"42500","86","288","0.30"
"42500","119","425","0.28"
"42500","54","202","0.27"
"42500","373","1471","0.25"
"42500","136","540","0.25"
"42500","10","42","0.24"
"42500","217","896","0.24"
"42500","30","164","0.18"
"42600","458","2153","0.21"
"42700","338","1482","0.23"
"42700","374","1750","0.21"
"43000","228","858","0.27"
"43000","410","1614","0.25"
"43000","230","964","0.24"
"43100","538","2279","0.24"
"43100","523","2205","0.24"
"43300","523","1995","0.26"
"43300","319","1377","0.23"
"43500","244","1178","0.21"
"43500","663","3272","0.20"
"43600","227","850","0.27"
"43700","343","1393","0.25"
"43800","128","610","0.21"
"43800","78","424","0.18"
"43900","280","1134","0.25"
"43900","420","1726","0.24"
"44000","386","1388","0.28"
"44000","576","2918","0.20"
"44000","835","4225","0.20"
"44100","322","1562","0.21"
"44400","441","1745","0.25"
"44400","360","1491","0.24"
"44400","465","2053","0.23"
"44500","497","2072","0.24"
"44600","2190","8739","0.25"
"44600","453","1901","0.24"
"44700","289","1211","0.24"
"44800","231","925","0.25"
"45000","242","674","0.36"
"45000","108","375","0.29"
"45000","97","377","0.26"
"45000","378","1448","0.26"
"45000","326","1342","0.24"
"45000","35","173","0.20"
"45100","827","3215","0.26"
"45300","394","1987","0.20"
"45500","417","1576","0.26"
"45500","753","2888","0.26"
"45500","439","1709","0.26"
"45500","363","1553","0.23"
"45500","484","2130","0.23"
"45600","363","1355","0.27"
"45600","317","1293","0.25"
"46200","448","2245","0.20"
"46300","371","1847","0.20"
"46300","292","1495","0.20"
"46500","327","1382","0.24"
"46600","512","2070","0.25"
"46700","364","996","0.37"
"46700","934","3161","0.30"
"46700","219","973","0.23"
"46700","306","1418","0.22"
"46700","181","821","0.22"
"46700","218","1024","0.21"
"46800","363","1361","0.27"
"46900","637","1995","0.32"
"46900","682","2620","0.26"
"46900","332","1287","0.26"
"47000","441","1783","0.25"
"47100","398","1562","0.25"
"47100","427","2029","0.21"
"47400","443","2043","0.22"
"47500","74","204","0.36"
"47500","203","639","0.32"
"47500","448","1524","0.29"
"47500","35","120","0.29"
"47500","239","820","0.29"
"47500","155","607","0.26"
"47500","28","112","0.25"
"47500","297","1297","0.23"
"47500","121","554","0.22"
"47500","284","1367","0.21"
"47500","18","96","0.19"
"47600","390","1590","0.25"
"47600","518","2399","0.22"
"47700","270","1047","0.26"
"47700","389","1763","0.22"
"47700","280","1335","0.21"
"47800","1228","3298","0.37"
"47800","354","1524","0.23"
"47800","316","1460","0.22"
"47900","1831","9047","0.20"
"48000","358","1185","0.30"
"48000","403","1563","0.26"
"48000","303","1469","0.21"
"48100","365","1270","0.29"
"48100","358","1515","0.24"
"48100","309","1497","0.21"
"48100","308","1707","0.18"
"48300","412","1818","0.23"
"48300","482","2084","0.23"
"48300","382","1673","0.23"
"48300","414","1765","0.23"
"48300","347","1528","0.23"
"48300","289","1377","0.21"
"48500","334","1165","0.29"
"48500","336","1334","0.25"
"48600","280","1021","0.27"
"48600","248","1291","0.19"
"48700","277","1164","0.24"
"48700","434","2236","0.19"
"48800","84","241","0.35"
"48800","542","2228","0.24"
"48800","261","1107","0.24"
"48800","209","1022","0.20"
"48900","333","1379","0.24"
"49000","144","661","0.22"
"49000","273","1282","0.21"
"49000","283","1434","0.20"
"49100","519","2009","0.26"
"49100","457","1812","0.25"
"49200","602","2751","0.22"
"49200","290","1389","0.21"
"49300","205","755","0.27"
"49300","359","1498","0.24"
"49400","299","1171","0.26"
"49400","526","2347","0.22"
"49400","266","1244","0.21"
"49400","265","1433","0.18"
"49500","269","972","0.28"
"49500","173","727","0.24"
"49500","363","1731","0.21"
"49500","364","1787","0.20"
"49500","1044","5486","0.19"
"49600","416","1314","0.32"
"49600","361","1573","0.23"
"49800","477","1809","0.26"
"49800","322","1343","0.24"
"49800","495","2274","0.22"
"49800","355","1615","0.22"
"50000","91","278","0.33"
"50000","238","749","0.32"
"50000","166","551","0.30"
"50000","11","37","0.30"
"50000","95","350","0.27"
"50000","383","1497","0.26"
"50000","506","2114","0.24"
"50000","272","1236","0.22"
"50000","431","1970","0.22"
"50000","159","752","0.21"
"50000","21","123","0.17"
"50100","314","1513","0.21"
"50200","259","1170","0.22"
"50300","352","1509","0.23"
"50300","329","1537","0.21"
"50400","360","1286","0.28"
"50400","314","1294","0.24"
"50500","295","1189","0.25"
"50500","466","2062","0.23"
"50600","431","1440","0.30"
"50600","224","790","0.28"
"50600","1003","3800","0.26"
"50700","177","607","0.29"
"50700","254","1097","0.23"
"50800","563","2233","0.25"
"50800","486","1913","0.25"
"50800","247","1020","0.24"
"50800","262","1093","0.24"
"50800","272","1254","0.22"
"50800","382","1783","0.21"
"50800","812","4164","0.20"
"50800","209","1112","0.19"
"50900","575","2450","0.23"
"51000","374","1317","0.28"
"51000","597","2911","0.21"
"51100","404","1938","0.21"
"51200","678","2783","0.24"
"51300","2634","8502","0.31"
"51300","57","245","0.23"
"51300","323","1425","0.23"
"51300","351","1740","0.20"
"51300","304","1592","0.19"
"51400","701","2348","0.30"
"51400","262","1289","0.20"
"51500","256","1070","0.24"
"51500","398","1955","0.20"
"51600","526","2129","0.25"
"51600","573","2297","0.25"
"51600","484","1941","0.25"
"51600","372","1722","0.22"
"51700","230","831","0.28"
"51700","288","1050","0.27"
"51700","308","1187","0.26"
"51700","412","1610","0.26"
"51700","766","3095","0.25"
"51700","375","1529","0.25"
"51700","361","1533","0.24"
"51700","295","1246","0.24"
"51800","542","1717","0.32"
"51800","506","2126","0.24"
"51800","536","2465","0.22"
"51900","584","2378","0.25"
"51900","516","2221","0.23"
"51900","443","1925","0.23"
"52000","307","1175","0.26"
"52000","133","512","0.26"
"52000","374","1485","0.25"
"52000","659","2623","0.25"
"52000","276","1183","0.23"
"52100","443","1598","0.28"
"52100","539","2290","0.24"
"52100","483","2171","0.22"
"52100","458","2213","0.21"
"52200","272","1293","0.21"
"52300","261","1000","0.26"
"52300","290","1267","0.23"
"52300","691","3208","0.22"
"52300","236","1142","0.21"
"52400","741","2994","0.25"
"52400","339","1463","0.23"
"52500","724","1942","0.37"
"52500","254","696","0.36"
"52500","364","1200","0.30"
"52500","509","1827","0.28"
"52500","219","877","0.25"
"52500","10","40","0.25"
"52500","239","946","0.25"
"52500","510","2099","0.24"
"52500","402","2014","0.20"
"52500","57","314","0.18"
"52600","439","1912","0.23"
"52600","241","1081","0.22"
"52600","282","1347","0.21"
"52600","528","2581","0.20"
"52600","221","1185","0.19"
"52600","515","2820","0.18"
"52700","444","1766","0.25"
"52700","221","948","0.23"
"52800","364","1542","0.24"
"52800","216","912","0.24"
"52800","212","910","0.23"
"52800","221","1026","0.22"
"52900","367","1590","0.23"
"52900","696","3437","0.20"
"52900","340","1743","0.20"
"52900","478","2402","0.20"
"53000","497","1911","0.26"
"53000","531","2109","0.25"
"53000","391","1719","0.23"
"53000","539","2559","0.21"
"53000","97","462","0.21"
"53000","393","1960","0.20"
"53100","294","1127","0.26"
"53100","419","1729","0.24"
"53100","269","1173","0.23"
"53100","385","1885","0.20"
"53200","443","1761","0.25"
"53200","324","1402","0.23"
"53200","413","2015","0.20"
"53300","166","671","0.25"
"53300","455","1832","0.25"
"53300","329","1446","0.23"
"53300","424","1855","0.23"
"53300","275","1337","0.21"
"53400","283","1109","0.26"
"53400","259","1025","0.25"
"53400","383","1607","0.24"
"53400","365","1728","0.21"
"53400","175","941","0.19"
"53500","1147","4241","0.27"
"53500","484","1959","0.25"
"53500","424","1867","0.23"
"53500","397","1706","0.23"
"53500","303","1465","0.21"
"53500","349","1660","0.21"
"53500","529","2467","0.21"
"53500","291","1541","0.19"
"53600","162","565","0.29"
"53600","429","1957","0.22"
"53800","25","99","0.25"
"53800","268","1059","0.25"
"53800","221","991","0.22"
"53800","596","2896","0.21"
"53800","46","240","0.19"
"53900","580","2358","0.25"
"53900","482","2115","0.23"
"53900","321","1575","0.20"
"53900","315","1724","0.18"
"54000","619","2596","0.24"
"54000","497","2285","0.22"
"54000","101","461","0.22"
"54100","505","2014","0.25"
"54100","453","1893","0.24"
"54100","459","2079","0.22"
"54100","691","3085","0.22"
"54100","476","2228","0.21"
"54100","308","1554","0.20"
"54100","242","1276","0.19"
"54200","433","1633","0.27"
"54200","428","1621","0.26"
"54200","658","2563","0.26"
"54200","487","1880","0.26"
"54200","114","583","0.20"
"54200","486","2419","0.20"
"54200","294","1515","0.19"
"54300","577","1967","0.29"
"54300","536","1945","0.28"
"54300","290","1124","0.26"
"54300","244","932","0.26"
"54300","452","1852","0.24"
"54300","435","1808","0.24"
"54300","374","1603","0.23"
"54400","81","322","0.25"
"54400","477","1941","0.25"
"54400","243","1023","0.24"
"54400","726","3065","0.24"
"54400","520","2281","0.23"
"54400","168","738","0.23"
"54400","725","3215","0.23"
"54400","378","1632","0.23"
"54400","287","1296","0.22"
"54400","276","1325","0.21"
"54600","812","3141","0.26"
"54600","418","1705","0.25"
"54600","304","1290","0.24"
"54600","1492","6145","0.24"
"54600","308","1318","0.23"
"54600","413","1945","0.21"
"54700","402","1691","0.24"
"54700","750","3216","0.23"
"54700","508","2294","0.22"
"54700","318","1490","0.21"
"54800","400","1461","0.27"
"54800","465","1807","0.26"
"54900","648","2969","0.22"
"55000","18","41","0.44"
"55000","836","1928","0.43"
"55000","938","2302","0.41"
"55000","88","224","0.39"
"55000","414","1137","0.36"
"55000","748","2066","0.36"
"55000","509","1450","0.35"
"55000","191","543","0.35"
"55000","2","6","0.33"
"55000","102","337","0.30"
"55000","429","1495","0.29"
"55000","205","769","0.27"
"55000","160","598","0.27"
"55000","263","957","0.27"
"55000","704","2680","0.26"
"55000","290","1122","0.26"
"55000","240","968","0.25"
"55000","10","40","0.25"
"55000","129","524","0.25"
"55000","160","662","0.24"
"55000","94","394","0.24"
"55000","335","1432","0.23"
"55000","38","172","0.22"
"55000","195","902","0.22"
"55000","20","97","0.21"
"55000","341","1666","0.20"
"55000","594","2916","0.20"
"55000","236","1196","0.20"
"55000","290","1548","0.19"
"55100","559","1923","0.29"
"55100","441","1810","0.24"
"55100","275","1225","0.22"
"55100","509","2500","0.20"
"55100","356","1827","0.19"
"55200","488","1947","0.25"
"55200","677","2874","0.24"
"55200","340","1564","0.22"
"55200","416","1874","0.22"
"55200","296","1388","0.21"
"55300","403","1475","0.27"
"55300","435","1794","0.24"
"55300","362","1703","0.21"
"55300","255","1270","0.20"
"55400","348","1438","0.24"
"55400","556","2352","0.24"
"55400","327","1475","0.22"
"55400","460","2331","0.20"
"55400","485","2400","0.20"
"55500","297","1051","0.28"
"55500","376","1376","0.27"
"55500","78","303","0.26"
"55500","555","2181","0.25"
"55500","245","1012","0.24"
"55500","396","1756","0.23"
"55500","366","1620","0.23"
"55500","434","1938","0.22"
"55600","183","662","0.28"
"55600","1210","4893","0.25"
"55600","421","1932","0.22"
"55600","810","3873","0.21"
"55600","320","1606","0.20"
"55700","820","3274","0.25"
"55700","116","495","0.23"
"55700","411","1825","0.23"
"55700","922","4206","0.22"
"55700","71","371","0.19"
"55800","170","587","0.29"
"55800","508","1963","0.26"
"55800","361","1517","0.24"
"55800","308","1303","0.24"
"55800","246","1009","0.24"
"55900","423","1551","0.27"
"55900","536","2165","0.25"
"55900","271","1077","0.25"
"55900","232","964","0.24"
"55900","433","1897","0.23"
"55900","341","1542","0.22"
"55900","456","2149","0.21"
"56000","347","1508","0.23"
"56000","250","1159","0.22"
"56000","985","4513","0.22"
"56000","495","2330","0.21"
"56000","294","1623","0.18"
"56100","820","2570","0.32"
"56100","194","752","0.26"
"56100","469","2023","0.23"
"56100","260","1185","0.22"
"56100","112","544","0.21"
"56100","262","1355","0.19"
"56200","482","2049","0.24"
"56200","471","2220","0.21"
"56200","434","2248","0.19"
"56300","188","695","0.27"
"56400","379","1404","0.27"
"56400","381","1737","0.22"
"56500","360","1174","0.31"
"56500","390","1650","0.24"
"56500","378","1618","0.23"
"56600","449","1822","0.25"
"56600","534","2601","0.21"
"56700","330","1343","0.25"
"56700","634","2680","0.24"
"56700","670","2958","0.23"
"56700","146","661","0.22"
"56700","464","2085","0.22"
"56700","196","956","0.21"
"56700","372","1865","0.20"
"56700","268","1414","0.19"
"56700","130","701","0.19"
"56800","357","1406","0.25"
"56800","368","1671","0.22"
"56800","568","2652","0.21"
"56900","793","3004","0.26"
"57000","626","2658","0.24"
"57000","311","1427","0.22"
"57000","258","1219","0.21"
"57000","421","1992","0.21"
"57000","435","2077","0.21"
"57000","373","1852","0.20"
