"longtitude","latitude","median_house_value","median_income"
"-118.37","34.1","500001","150001"
"-122.27","37.43","500001","150001"
"-118.41","34.07","500001","150001"
"-118.41","34.07","500001","150001"
"-118.04","34.13","500001","150001"
"-118.34","33.76","500001","150001"
"-118.2","34.19","500001","150001"
"-118.49","34.05","500001","150001"
"-118.19","34.19","500001","150001"
"-118.18","34.19","500001","150001"
"-118.5","34.04","500001","150001"
"-118.43","34.08","500001","150001"
"-118.44","34.09","500001","150001"
"-117.87","33.62","500001","150001"
"-118.12","34.12","500001","150001"
"-118.33","34.07","500001","150001"
"-118.33","34.07","500001","150001"
"-118.33","34.06","500001","150001"
"-117.23","32.99","500001","150001"
"-118.06","34.15","500001","150001"
"-118.4","34.11","500001","150001"
"-122.36","37.56","500001","150001"
"-118.32","34.06","500001","150001"
"-122.18","37.46","500001","150001"
"-117.85","33.62","500001","150001"
"-122.5","37.79","500001","150001"
"-118.5","34.05","500001","150001"
"-118.42","34.08","500001","150001"
"-121.87","37.46","500001","150001"
"-118.34","34.08","500001","150001"
"-122.2","37.44","500001","150001"
"-118.1","34.13","500001","150001"
"-122.14","37.5","500001","150001"
"-122.22","37.44","500001","150001"
"-118.06","33.72","500001","150001"
"-122.21","37.46","500001","150001"
"-122.22","37.4","500001","150001"
"-118.4","34.1","500001","150001"
"-118.4","34.09","500001","150001"
"-118.39","34.08","500001","150001"
"-118.49","34.06","500001","150001"
"-118.4","34.08","500001","150001"
"-118.41","34.09","500001","150001"
"-122.44","37.79","500001","150001"
"-118.42","34.09","500001","150001"
"-118.42","34.08","500001","150001"
"-121.98","37.25","500001","150000"
"-118.5","34.05","500001","150000"
"-117.68","33.59","500001","149009"
"-122.52","37.92","500001","145833"
"-122.35","37.56","500001","144219"
"-121.94","36.57","500001","144113"
"-122.46","37.79","500001","142959"
"-118.46","34.07","500001","142867"
"-118.51","34.11","500001","139470"
"-118.49","34.05","500001","138556"
"-122.11","37.31","500001","138093"
"-118.52","34.04","500001","136842"
"-117.18","33.02","500001","136623"
"-118.49","34.07","500001","135728"
"-122.22","37.82","500001","134990"
"-121.97","37.87","500001","134883"
"-117.79","33.75","500001","134660"
"-118.5","34.15","500001","134196"
"-122.34","37.55","500001","133913"
"-122.18","37.47","500001","133670"
"-118.49","34.04","500001","133036"
"-122.2","37.35","500001","132986"
"-121.89","37.82","500001","132949"
"-118.49","34.11","500001","132935"
"-122.11","37.36","500001","131867"
"-117.9","33.61","500001","131738"
"-121.91","37.81","500001","131499"
"-117.65","33.48","500001","130502"
