"median_income","population","household","total_rooms","people_per_household","people_per_room"
"150001","1143","375","3000","3.048","0.381"
"150001","577","207","1777","2.787","0.325"
"150001","55","26","220","2.115","0.250"
"150001","17","4","50","4.250","0.340"
"150001","1318","484","4281","2.723","0.308"
"150001","100","47","407","2.128","0.246"
"150001","722","247","2328","2.923","0.310"
"150001","749","260","2234","2.881","0.335"
"150001","25","9","200","2.778","0.125"
"150001","483","181","1447","2.669","0.334"
"150001","798","243","2176","3.284","0.367"
"150001","825","254","2061","3.248","0.400"
"150001","528","155","1371","3.406","0.385"
"150001","1567","697","5578","2.248","0.281"
"150001","1871","636","5586","2.942","0.335"
"150001","1351","520","3979","2.598","0.340"
"150001","857","259","2686","3.309","0.319"
"150001","862","334","3129","2.581","0.275"
"150001","238","93","778","2.559","0.306"
"150001","1407","422","3759","3.334","0.374"
"150001","1011","319","2718","3.169","0.372"
"150001","1266","413","3815","3.065","0.332"
"150001","809","291","2716","2.780","0.298"
"150001","829","310","2861","2.674","0.290"
"150001","1024","370","3552","2.768","0.288"
"150001","770","248","2413","3.105","0.319"
"150001","1163","361","3562","3.222","0.327"
"150001","408","138","1202","2.957","0.339"
"150001","1461","550","4152","2.656","0.352"
"150001","457","120","955","3.808","0.479"
"150001","632","224","1918","2.821","0.330"
"150001","964","319","2665","3.022","0.362"
"150001","1512","511","4684","2.959","0.323"
"150001","410","152","1399","2.697","0.293"
"150001","688","196","1721","3.510","0.400"
"150001","693","218","1841","3.179","0.376"
"150001","813","265","2248","3.068","0.362"
"150001","531","161","1482","3.298","0.358"
"150001","1865","662","5192","2.817","0.359"
"150001","697","226","1980","3.084","0.352"
"150001","735","274","2209","2.682","0.333"
"150001","629","215","1601","2.926","0.393"
"150001","268","29","249","9.241","1.076"
"150001","58","16","91","3.625","0.637"
"150001","814","283","2297","2.876","0.354"
"150001","13","5","30","2.600","0.433"
"150001","956","279","2907","3.427","0.329"
"150001","13","1","8","13.000","1.625"
"150001","831","258","2529","3.221","0.329"
"150000","414","160","1487","2.588","0.278"
"150000","267","99","755","2.697","0.354"
"149009","899","236","2327","3.809","0.386"
"145833","163","75","421","2.173","0.387"
"144219","519","201","1659","2.582","0.313"
